BookVal,MinorBlem,MajorBlem,PowerSeller,IDSeller,Sealed,NegFeedback,ReservePriceFrac,NBidders,FinalPrice
15.95,1,0,0,0,0,0,0.77742946708464,3,17.96
29.5,0,0,0,0,1,0,0.491186440677966,11,35.95
9.5,1,0,1,0,0,0,1.05157894736842,2,10.49
34.5,0,0,1,0,0,1,0.462028985507246,4,33.95
34.5,1,0,0,0,0,1,0.222898550724638,5,29.95
24.5,0,0,1,1,0,0,1.17959183673469,0,NaN
32.95,0,0,1,1,0,0,0.998482549317147,3,47.06
43.5,0,0,0,0,0,1,0.176781609195402,8,34.25
32.95,0,0,0,0,0,0,0.178755690440061,8,37.9
14.95,0,0,0,0,0,0,0.393979933110368,5,15.19
21.95,0,1,0,0,0,0,0.658314350797267,0,NaN
27.5,0,1,1,0,0,0,0.217454545454545,4,9
39.5,0,0,0,0,0,1,0.194683544303797,9,30.7
39.5,0,0,0,0,0,0,0.379240506329114,5,29.99
13.5,1,0,0,0,0,0,0.554814814814815,3,9.39
59.5,0,0,0,0,0,0,0.11327731092437,11,56.78
69.5,0,0,0,0,0,1,0.110647482014388,6,58.23
24.5,0,0,0,0,0,0,0.324081632653061,5,20.21
99.5,0,0,0,0,0,0,0.0797989949748744,6,61.95
14.95,0,0,1,0,0,1,0.929765886287625,4,24.45
7.5,0,0,1,0,0,0,1.332,2,11.99
17.5,0,0,1,0,0,0,0.313714285714286,7,15
17.95,0,0,1,0,0,0,0.556545961002786,4,13.25
10.5,0,0,1,0,0,0,0.951428571428571,2,11.99
26.5,0,0,0,0,0,0,0.641509433962264,2,26.07
39.5,0,0,0,0,0,0,0.430379746835443,4,24.31
16.5,0,0,1,0,0,0,0.332727272727273,3,17
399.5,0,1,0,0,0,0,0.708385481852315,0,NaN
39.5,0,0,0,0,0,0,0.556962025316456,4,34.77
34.5,0,0,0,0,0,0,0.63768115942029,3,30.25
175,0,0,0,0,0,0,0.325714285714286,5,128.25
35.5,0,0,0,0,0,0,0.535211267605634,4,28.51
17.5,0,0,0,0,0,0,0.313714285714286,6,12.89
17.5,0,0,0,0,0,0,0.313714285714286,6,13
17.5,0,0,0,0,0,0,0.313714285714286,8,14
11.5,0,0,0,0,0,0,0.693913043478261,2,8.24
9.5,0,0,0,0,0,0,0.84,2,9.49
39.5,0,0,0,0,0,0,0.227341772151899,7,25.5
72.5,0,0,0,0,0,0,0.165241379310345,7,45.99
28.5,0,0,0,0,0,0,0.315087719298246,4,28.01
32.5,0,0,0,0,0,0,0.368615384615385,5,25.04
9.5,0,0,1,0,0,0,0.414736842105263,5,8.19
175,0,0,0,0,0,1,0.0439428571428571,7,126.2
9.5,0,0,1,0,0,0,0.630526315789474,3,10.5
8.95,0,0,1,0,0,0,0.66927374301676,2,8.25
57.5,0,0,1,0,1,0,0.0965217391304348,6,53.83
12.5,0,0,1,0,0,0,0.4792,6,11.5
11.5,0,0,1,0,0,0,0.520869565217391,5,12
8.5,0,0,1,0,0,0,0.704705882352941,4,12
11.5,0,0,1,0,0,0,0.520869565217391,4,10.01
8.5,0,0,1,0,0,0,0.704705882352941,4,11.5
11.5,0,0,1,0,0,0,0.520869565217391,3,10
10.5,0,0,1,0,0,0,0.57047619047619,3,7.25
19.95,0,0,1,0,0,0,0.300250626566416,4,15
9.5,0,0,1,0,0,0,0.630526315789474,4,12
16.5,1,0,1,0,0,0,0.363030303030303,4,13.85
29.5,0,0,0,0,0,0,0.500460023072145,5,27.2635706806283
14.95,0,0,1,0,0,1,0.949832775919732,0,NaN
